"코드.번호","CODE","회사명","업종.대.","업종.소.","코스피코스닥","국내여부"
"A111110",111110,"호전실업","섬유 및 의류","의류","코스피",1
"A104200",104200,"NHN벅스","미디어 및 엔터","미디어","코스닥",1
"A026040",26040,"제이에스티나","섬유 및 의류","의류","코스닥",1
"A950140",950140,"잉글우드랩","가정용품","화장품","코스닥",0
"A036170",36170,"씨티젠","전기 및 전자기기","LED","코스닥",1
"A078140",78140,"대봉엘에스","가정용품","화장품","코스닥",1
"A024880",24880,"케이피에프","자동차 및 관련부품","기타 자동차부품","코스닥",1
"A002720",2720,"국제약품","제약 및 바이오","제약","코스피",1
"A058850",58850,"KTcs","IT서비스","컨택센터","코스피",1
"A044060",44060,"조광ILI","기계","피팅 및 밸브","코스닥",1
"A072470",72470,"우리산업홀딩스","자동차 및 관련부품","공조부품","코스닥",1
"A083930",83930,"아바코","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A083550",83550,"케이엠","반도체 관련장비 및 부품","클린룸","코스닥",1
"A221840",221840,"하이즈항공","기계","우주항공","코스닥",1
"A004450",4450,"삼화왕관","종이 및 용기","용기 및 포장재","코스피",1
"A192250",192250,"케이사인","IT서비스","보안서비스","코스닥",1
"A088130",88130,"동아엘텍","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A194480",194480,"데브시스터즈","미디어 및 엔터","게임","코스닥",1
"A000300",300,"대유플러스","자동차 및 관련부품","조향부품","코스피",1
"A120240",120240,"대정화금","화학","기타 화학","코스닥",1
"A011000",11000,"진원생명과학","제약 및 바이오","바이오","코스피",1
"A137400",137400,"피엔티","IT 장비 및 소재","2차전지","코스닥",1
"A003610",3610,"방림","섬유 및 의류","섬유","코스피",1
"A220180",220180,"핸디소프트","IT서비스","소프트웨어","코스닥",1
"A019660",19660,"글로본","금융","기타 금융","코스닥",1
"A004080",4080,"신흥","의료기기 및 용품","의료용품","코스피",1
"A205100",205100,"엑셈","IT서비스","소프트웨어","코스닥",1
"A007590",7590,"동방아그로","화학","비료 및 농약","코스피",1
"A101160",101160,"월덱스","반도체 관련장비 및 부품","반도체 부품","코스닥",1
"A131100",131100,"리켐","IT 장비 및 소재","2차전지","코스닥",1
"A019010",19010,"베뉴지","유통","백화점","코스닥",1
"A106190",106190,"하이텍팜","제약 및 바이오","원료의약품","코스닥",1
"A067310",67310,"하나마이크론","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A017510",17510,"세명전기","기계","전력기자재","코스닥",1
"A068330",68330,"일신바이오","의료기기 및 용품","의료기기","코스닥",1
"A187870",187870,"디바이스이엔지","디스플레이 장비 및 부품","디스플레이 부품","코스닥",1
"A092460",92460,"한라IMS","조선","조선기자재","코스닥",1
"A031510",31510,"오스템","자동차 및 관련부품","차체부품","코스닥",1
"A069410",69410,"엔텔스","통신","통신서비스","코스닥",1
"A042510",42510,"라온시큐어","IT서비스","보안서비스","코스닥",1
"A004720",4720,"우리들제약","제약 및 바이오","제약","코스피",1
"A002230",2230,"피에스텍","전기 및 전자기기","계측기","코스닥",1
"A100220",100220,"비상교육","일반서비스","교육","코스피",1
